REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2023,0.17968735071
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2025,3.4910352000000002
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2026,3.4910352000000002
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2027,0.17968735071
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2028,2.3465751318000003
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2029,2.3465751318000003
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2030,0.17968735071
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2032,3.4910352000000002
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2033,0.17968735071
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2035,0.17968735071
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2037,3.4910352000000002
GLOBAL,S1D2,PWRBIOGUYXX01,BIOGUYXX,2038,3.4910352000000002
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2021,3.9982292
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2022,3.9982292
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2023,3.9008378
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2024,3.9982292
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2025,2.1060692
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2026,2.1060692
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2027,3.9008378
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2028,2.7263728
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2029,2.7263728
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2030,3.9008378
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2031,3.9982292
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2032,2.1060692
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2033,3.9008378
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2034,3.9982292
GLOBAL,S1D2,PWRCCGGUYXX01,GASINT,2035,3.9008378
